id（角色id*1000+觉醒等级）,名称,资源目录,战斗力,防御,暴击,技巧,战斗力等级增加值,初始装备,初始技能,需要生多少级才能开启下次觉醒
1000,1阶拳击手,xxx,1000,10,10,50,100,1001,1001,10
1001,1阶拳击手,xxx,1000,10,10,50,100,1001,1001,10
1002,2阶拳击手,xxx,2000,20,20,50,200,1001,1001,10
1003,3阶拳击手,xxx,3000,30,30,50,300,1001,1001,10
1004,4阶拳击手,xxx,4000,40,40,50,400,1001,1001,10
1005,5阶拳击手,xxx,5000,50,50,50,500,1001,1001,10
2000,1阶拳击手,xxx,5000,10,10,50,100,1002,1002,10
2001,1阶拳击手,xxx,5000,10,10,50,100,1002,1002,10
2002,2阶拳击手,xxx,2000,20,20,50,200,1002,1002,10
2003,3阶拳击手,xxx,3000,30,30,50,300,1002,1002,10
2004,4阶拳击手,xxx,4000,40,40,50,400,1002,1002,10
2005,5阶拳击手,xxx,5000,50,50,50,500,1002,1002,10
